gene_id	transcript_id(s)	Control_R1	Control_R2	Control_R3	Control_R4	DPN_R1	DPN_R2	DPN_R3	DPN_R4	OHT_R1	OHT_R2	OHT_R3	OHT_R4
LOC440313	rna63159	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC440337	rna64019	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC440354	rna64823	37.83	39.63	26.66	29.44	43.30	24.84	85.84	77.32	47.98	37.87	0.00	79.50
LOC440386	rna66119	2.27	0.00	1.00	1.13	0.00	3.44	3.02	4.05	0.00	1.14	1.00	6.61
LOC440390	rna66445	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
LOC440434	rna68852	76.11	35.79	67.58	74.62	74.00	51.74	131.61	195.38	62.14	27.57	52.88	206.62
LOC440461	rna70777	2.00	2.00	0.00	0.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC440518	rna75285	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
LOC440570	rna8883	2.17	5.69	10.57	1.00	8.37	4.00	14.69	1.00	2.64	3.83	6.41	1.64
LOC440602	rna4189	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC440700	rna6471	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC440742	rna8693	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC440895	rna11549,rna11550	83.61	82.19	54.72	88.13	60.79	78.30	105.20	109.00	44.03	93.25	58.61	147.84
LOC440910	rna12109	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC440934	rna14201	55.00	8.00	5.00	2.00	69.00	6.00	24.00	12.00	30.00	5.00	9.00	17.00
LOC441052	rna23202	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC441081	rna24579	0.00	5.80	0.00	1.90	2.59	0.00	3.94	10.28	0.00	0.00	1.13	1.51
LOC441124	rna8088	11.04	4.59	3.34	11.13	9.99	2.48	7.39	12.06	6.85	4.30	8.53	20.61
LOC441155	NM_001271675.1	17.92	13.86	10.64	11.62	13.90	7.85	29.58	19.05	13.60	8.58	8.51	13.83
LOC441179	rna31606	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00
LOC441204	rna32311	3.00	0.00	1.00	0.00	5.00	0.00	1.00	3.00	6.00	0.00	0.00	1.00
LOC441242	rna33128,rna33130	3.00	5.00	9.00	3.00	4.00	6.00	8.00	8.00	2.00	2.00	3.00	7.00
LOC441454	rna40639	4.00	1.00	1.00	8.00	3.97	0.00	2.36	2.00	2.00	1.00	5.00	4.52
LOC441455	rna40628	0.00	0.00	0.00	1.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00
LOC441493	rna84813	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC441528	rna84103	47.97	38.89	4.00	43.95	39.50	41.38	18.49	41.00	35.66	43.52	12.12	53.75
LOC441601	rna48148	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC441666	rna43553	18.00	9.00	1.00	17.00	13.00	9.00	4.00	35.00	10.00	5.00	2.00	49.00
LOC441728	rna62362	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC441956	rna80980	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC442028	rna11005	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC442132	rna23728	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC493754	rna33160	114.15	82.46	94.39	119.73	102.26	107.30	183.26	202.51	86.49	107.33	110.87	243.45
LOC494127	rna40294	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC494141	rna47381,rna47382,rna47383	0.00	0.00	0.00	1.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC497256	rna40314	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC541473	rna33393	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	0.00	0.00	1.00	0.00
LOC550113	rna21375	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC550643	rna85249	179.00	98.00	254.00	189.00	147.00	122.00	493.00	333.00	125.00	130.00	208.00	346.00
LOC553103	rna25525	5.00	2.00	5.00	5.00	4.16	10.00	8.00	11.00	6.00	5.00	3.00	15.35
LOC554206	rna64605	2.00	4.00	3.00	7.00	3.00	4.00	11.00	8.00	5.00	5.00	4.00	8.00
LOC554223	NM_001207043.1	0.00	4.51	2.01	3.19	0.00	6.46	2.38	0.00	0.00	7.52	0.00	6.53
LOC595101	rna64935	120.28	88.99	216.85	162.71	87.04	115.75	391.35	233.24	55.66	112.80	177.18	250.93
LOC606724	rna64814	1.36	0.00	1.22	1.00	2.00	0.00	1.00	1.66	0.32	0.00	1.19	0.00
LOC613037	rna64934	50.51	19.05	47.60	41.75	57.37	18.11	112.67	77.07	37.63	29.08	37.84	82.34
LOC613038	rna64931	8.00	10.00	10.00	19.13	7.50	16.00	32.00	36.00	3.00	11.00	13.00	21.00
LOC641367	rna75266	1.00	1.01	1.00	3.00	1.00	0.00	2.01	0.00	2.02	0.00	1.00	1.00
LOC641515	rna7356	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
LOC641746	rna33079	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC642131	XM_006720361.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC642236	rna39847	1.22	0.00	1.13	1.05	1.12	0.00	1.19	0.00	2.02	1.05	0.00	3.31
LOC642249	XM_006724939.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC642361	rna44626	42.96	31.49	41.45	45.64	46.76	28.33	76.54	65.79	35.48	18.40	31.65	101.11
LOC642366	rna24219	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC642423	rna62724	19.55	0.00	8.45	5.75	17.57	0.00	17.60	29.95	12.13	13.53	2.54	21.87
LOC642441	XM_006711713.1	86.49	92.30	54.01	70.69	82.56	95.24	130.77	89.05	47.29	83.09	53.08	103.18
LOC642643	XM_006724404.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC642648	rna83691,rna83692	1.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00
LOC642846	rna51886	47.40	15.21	21.11	21.56	39.17	9.74	32.63	44.95	41.99	25.82	12.05	54.54
LOC642852	rna81860	73.49	73.94	92.74	93.17	76.79	91.56	207.56	122.21	62.00	51.12	108.00	114.46
LOC642934	rna44707	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC643072	rna12509,rna12510	25.20	24.15	19.33	20.37	19.33	26.37	28.76	27.81	16.53	25.07	15.49	35.83
LOC643327	rna27315,rna27316	1.00	1.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	1.00	1.00	0.00
LOC643355	NM_001270945.1,XM_005271117.1	1.00	1.00	10.00	1.00	1.00	1.00	26.00	7.00	0.00	1.00	11.00	3.00
LOC643387	rna14697	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.01
LOC643406	rna78920	7.72	0.00	1.12	3.26	4.17	0.00	6.21	1.18	3.16	1.10	1.03	11.96
LOC643441	rna4326	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC643486	rna85715	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC643711	rna54519,rna54521	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC643733	rna50345,rna50346	9.00	1.00	4.00	1.00	7.00	0.00	8.00	1.00	7.00	3.00	2.00	1.00
LOC643770	rna54527	0.00	0.00	0.00	0.00	2.00	1.00	0.00	1.00	0.00	0.00	0.00	1.00
LOC643797	rna63001	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC643802	NM_001207030.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC643923	rna50400	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC644070	XM_006721627.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC644083	rna1052	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
LOC644086	rna32382	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC644090	rna35546	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
LOC644145	rna21249	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC644172	rna69721	1.14	0.00	0.00	1.17	2.34	0.00	0.00	3.68	0.00	0.00	1.09	3.42
LOC644189	rna75769	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.00	2.00	0.00	0.00	0.00
LOC644249	XM_003959995.3	1.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	1.00	0.00	0.00	1.00
LOC644554	rna75916	4.89	8.00	9.00	10.00	5.00	12.00	23.00	21.00	4.00	12.00	10.00	15.99
LOC644656	rna47173	8.00	0.00	7.00	5.00	8.00	2.00	8.00	7.00	4.00	3.00	6.00	10.00
LOC644662	rna18297	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC644669	rna72220	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
LOC644717	XM_005262507.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC644794	rna33178	9.00	3.00	14.00	11.00	8.00	7.00	13.00	26.00	4.00	6.00	8.00	25.00
LOC644919	rna58238,rna58239	14.00	0.00	10.00	0.00	13.00	0.00	17.00	0.00	10.00	0.00	8.00	0.00
LOC644936	rna24809	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC644961	rna1528	4.00	7.00	6.00	9.00	1.00	6.00	22.00	19.00	0.00	5.00	8.00	26.00
LOC645177	rna52315	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC645188	rna86713	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC645202	XM_006720799.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC645321	rna73204,rna73205	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
LOC645485	rna52480	0.00	0.00	3.00	1.00	0.00	0.00	3.00	0.00	1.00	0.00	1.00	0.00
LOC645513	rna22451	81.04	29.05	39.22	59.91	76.13	22.00	85.80	95.64	79.01	31.96	40.82	80.90
LOC645638	rna70453	0.00	1.00	1.00	0.00	1.00	0.00	2.00	1.00	0.00	3.00	1.00	0.00
LOC645752	rna62417	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
LOC645769	rna84224	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC645967	rna31192	1.25	1.16	4.93	4.38	3.44	3.36	8.39	9.10	0.00	2.29	2.23	6.74
LOC646021	XM_933339.6	28.14	16.00	9.00	1.00	21.00	21.00	21.00	1.00	20.00	19.08	9.00	1.01
LOC646034	rna43354	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
LOC646127	rna85575	1.00	0.00	3.01	0.00	2.01	2.01	1.00	4.02	0.00	0.00	0.00	4.02
LOC646214	rna60313	18.05	18.08	7.02	11.04	17.09	10.02	11.03	29.07	14.04	13.27	4.01	24.06
LOC646278	rna60579	17.66	8.46	1.06	7.42	10.75	8.64	4.19	17.86	10.01	9.58	5.24	18.58
LOC646471	rna1408	58.85	71.74	77.95	201.55	58.80	88.00	172.48	388.82	33.63	85.60	60.03	333.29
LOC646513	rna82770	1.00	0.00	1.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
LOC646588	rna32280,rna32281,rna32282,rna32283	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC646626	rna3586	1.15	0.00	0.00	0.00	0.00	1.24	1.30	1.39	0.00	0.00	0.00	2.45
LOC646652	rna23934	0.00	2.20	3.00	0.00	3.00	1.00	1.00	1.17	0.00	1.00	2.00	0.00
LOC646670	XM_006720816.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC646719	rna24015	70.00	42.00	133.00	114.00	51.00	44.00	268.00	185.00	66.00	37.00	113.00	191.00
LOC646730	XM_933859.6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC646736	rna14246	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC646743	rna12057	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC646762	rna32391	229.43	104.88	101.00	116.50	194.91	93.94	202.86	225.11	154.43	132.70	85.43	227.88
LOC646813	rna48149	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC646862	NM_001195135.1,XM_006723328.1	0.00	16.00	6.00	14.00	0.00	15.00	14.00	25.00	0.00	11.00	4.00	23.00
LOC646903	rna18920	5.00	0.00	7.00	14.00	1.00	2.00	21.00	22.00	5.00	2.00	7.00	28.00
LOC646938	rna62461	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC646976	rna6841	11.14	2.04	3.03	4.03	9.04	3.00	9.13	8.14	8.21	2.02	5.00	3.02
LOC647264	rna56777	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC647859	rna24605	0.00	8.63	2.35	0.00	0.00	7.35	3.31	0.00	4.78	3.67	0.00	7.08
LOC648044	XM_003959952.3	0.00	1.00	0.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	2.00
LOC648691	rna82368	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC648987	rna24149,rna24150,rna24151,rna24152,rna24153	6.00	7.00	11.37	10.00	8.21	6.46	28.00	14.00	2.00	9.00	14.00	13.00
LOC649330	NM_001146181.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC649352	rna35993	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC650157	XM_006711913.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC650226	rna33018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC650293	NM_001040071.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
LOC650368	rna46793	2.00	0.00	3.00	1.00	1.00	1.00	3.00	3.00	0.00	2.03	2.00	3.00
LOC652276	rna63684	98.00	62.00	101.25	70.20	126.00	59.00	187.22	129.00	65.24	65.00	73.20	159.22
LOC653160	rna1931	16.00	16.00	23.00	33.00	12.00	15.00	53.00	62.00	9.00	11.00	17.00	64.00
LOC653486	NM_001097610.2,XM_005277933.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC653513	rna4894	89.51	160.35	63.37	118.48	68.93	203.00	150.53	231.43	77.32	152.76	63.15	262.27
LOC653653	rna70454	0.00	1.28	0.00	0.00	1.23	0.00	1.28	0.00	0.00	0.00	0.00	1.31
LOC653786	rna64532	2.00	2.00	0.00	1.00	0.00	1.00	0.00	3.00	0.00	0.00	0.00	0.00
LOC654342	rna10989	20.73	2.28	49.94	22.36	25.55	8.91	88.25	47.42	14.75	8.78	48.53	63.26
LOC723805	rna76074	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00
LOC727710	rna66379	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
LOC727896	rna71906	0.00	0.00	0.00	1.00	2.02	0.00	1.01	1.01	0.00	0.00	0.00	1.01
LOC727944	rna8911	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC727978	XM_006713848.1	4.00	1.00	4.00	6.00	4.00	1.00	3.00	11.00	1.00	0.00	6.00	10.00
LOC728024	rna36669	1.01	5.00	5.00	0.00	1.00	2.01	14.00	4.07	4.00	7.11	5.05	4.03
LOC728026	XM_001126659.7	0.00	1.00	0.00	0.00	1.00	1.00	0.64	0.00	1.00	1.00	0.00	0.48
LOC728114	rna52786	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC728158	rna46252	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
LOC728290	rna17456,rna17457,rna17458	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC728323	rna14940	20.52	20.26	18.80	22.75	23.81	19.00	40.99	28.71	19.90	23.26	21.63	49.39
LOC728392	NM_001162371.2	170.00	124.00	342.00	215.00	175.00	119.00	678.00	447.00	167.00	123.00	333.00	416.00
LOC728407	rna43684	13.08	13.07	16.32	13.47	8.88	9.51	25.56	35.36	10.52	7.62	12.35	37.41
LOC728554	rna26989	115.29	50.06	125.46	85.19	99.22	61.22	177.79	137.34	70.08	87.15	85.96	177.56
LOC728613	rna23670	51.35	40.00	49.25	69.25	48.00	43.14	94.22	104.47	40.11	48.26	30.00	108.40
LOC728637	NM_001278059.1,XM_006714690.1,rna25485,rna25486	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00
LOC728715	XM_006719171.1	2.00	0.00	0.00	0.00	0.00	0.00	2.42	0.00	0.00	0.00	0.65	1.00
LOC728728	XM_006711855.1	0.00	0.00	0.00	0.00	3.15	1.24	0.00	0.00	0.00	0.00	0.00	0.00
LOC728739	rna54797	1.01	1.00	4.06	0.00	2.00	1.00	6.00	7.00	2.00	0.00	3.00	3.00
LOC728743	rna35424	203.00	65.00	70.00	112.00	178.00	91.00	174.00	204.00	112.00	80.00	69.00	192.00
LOC728752	rna75778	30.52	29.68	27.21	28.64	32.02	36.96	71.21	65.02	28.00	31.77	24.32	58.25
LOC728755	rna58034	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC728763	XM_006712906.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC728769	rna24763	27.00	25.00	24.00	24.00	41.00	29.00	58.00	44.00	28.00	37.00	26.00	31.00
LOC728805	rna80397	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC728819	NM_001101330.1	7.00	2.00	0.00	2.00	9.00	7.00	2.00	14.00	12.00	6.00	0.00	9.00
LOC728975	rna48983	18.00	11.00	5.00	21.00	7.12	9.00	5.00	22.00	7.00	5.00	4.00	31.00
LOC728989	rna4762	0.00	0.00	0.00	0.00	0.00	0.00	1.21	1.29	0.00	0.00	0.00	0.00
LOC729040	rna24952	13.00	4.00	11.00	7.00	4.00	16.00	23.00	19.00	3.00	18.00	5.00	19.00
LOC729041	rna2676	0.00	0.00	2.00	3.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00
LOC729080	rna26064	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC729083	rna16113	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
LOC729159	NM_001282301.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC729162	rna84105	91.23	64.86	2.40	41.86	116.99	88.94	3.77	88.82	91.24	80.88	0.00	114.43
LOC729164	rna11530	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC729173	rna50952	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC729222	XM_006719179.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.02	0.00	1.01	1.02	1.03
LOC729224	rna13516	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	3.00
LOC729291	rna52432	6.40	10.83	7.28	9.63	7.60	12.71	24.06	30.92	6.34	8.53	23.13	24.18
LOC729307	rna22638	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC729444	rna83974	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC729451	rna58447	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC729458	XM_001130308.5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC729468	XM_006712902.1	17.16	6.89	0.00	4.62	10.16	13.74	0.00	8.48	8.69	9.24	0.00	12.00
LOC729506	rna23744	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC729603	rna31490	14.00	5.00	9.00	10.00	16.00	8.01	17.00	15.00	7.00	10.00	12.00	30.00
LOC729609	rna84430	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC729652	rna63667	0.00	0.00	0.00	0.00	1.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00
LOC729658	rna31538,rna31539,rna31540,rna31541	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
LOC729683	rna70571	8.00	1.00	13.00	11.00	10.00	2.00	20.59	11.98	8.76	3.00	8.00	12.00
LOC729732	rna36009	29.63	10.00	12.00	11.00	32.00	5.00	13.00	16.00	31.00	7.00	2.00	22.00
LOC729737	rna10	89.86	4.88	0.00	29.93	102.86	4.16	10.81	53.61	63.01	0.00	1.71	60.15
LOC729739	rna62213	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC729770	rna14190	1.00	0.00	15.00	4.00	2.00	0.00	17.00	10.00	2.00	1.00	2.00	9.00
LOC729800	XM_006718110.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC729815	rna44602	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC729870	rna22905	12.00	6.00	7.00	9.00	20.00	7.00	19.00	20.00	11.00	4.00	11.00	32.00
LOC729887	rna66310	4.06	5.17	10.32	5.09	7.19	3.11	7.14	8.14	5.20	4.12	6.10	4.09
LOC729911	rna62480	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC729930	rna3663	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC729966	rna75018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC730101	rna29630,rna29631	41.00	33.00	35.00	30.00	41.00	41.00	71.00	55.00	30.00	21.00	39.00	69.00
LOC730102	rna6824	32.00	35.00	21.00	8.00	37.00	55.00	37.00	15.00	34.00	37.00	18.00	17.00
LOC730159	NM_001195190.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC730183	NM_001256932.1	31.00	20.00	28.00	18.00	31.00	13.00	33.00	46.00	22.00	19.00	16.00	45.00
LOC730257	rna4893	10.73	14.83	12.12	5.79	17.25	16.58	46.69	15.31	6.79	17.78	25.80	16.84
LOC730268	XM_005264679.1	15.92	2.30	67.64	17.36	11.96	9.37	92.97	25.71	12.82	3.77	54.85	24.81
LOC730338	rna32860	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC730668	rna83687	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC731157	rna24940	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
LOC731656	rna8524	0.00	0.00	0.00	0.00	1.00	1.00	2.00	0.00	0.00	1.00	0.00	1.00
LOC731779	rna38397	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC732265	XM_006720819.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC79999	rna68114	0.00	2.00	3.00	0.00	2.00	0.00	3.65	0.00	0.00	0.00	1.00	0.00
LOC80154	rna62583,rna62584,rna62585	283.63	160.16	174.57	172.30	341.55	200.43	341.15	370.14	262.99	198.36	137.57	393.23
LOC81691	NM_001144924.1,NM_001199053.1,NM_030941.2,XM_005255604.1,XM_005255606.2	461.00	118.00	20.00	45.00	707.00	133.00	53.00	228.00	533.00	80.00	19.00	254.00
LOC90246	rna18381	86.00	86.00	5.00	53.00	42.00	79.00	2.00	102.00	43.00	92.00	2.00	79.00
LOC90784	rna10867	98.00	40.00	95.00	101.00	65.00	47.00	152.00	154.00	46.00	72.00	91.00	224.00
LOC90834	rna83783	6.77	3.25	12.33	10.60	5.96	2.76	17.33	16.98	10.87	3.62	7.06	26.70
LOC91450	rna62419	3.00	3.00	6.00	4.00	0.00	0.00	13.00	4.00	3.00	1.00	1.00	6.00
LOC92249	rna85280	131.00	84.00	83.00	66.00	168.00	142.00	144.00	123.00	115.00	98.00	77.00	136.00
LOC93432	rna35174	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LOC93622	rna20434	114.00	84.00	84.00	67.00	89.00	72.00	90.00	107.00	73.00	78.00	56.00	118.00
LOH12CR1	NM_058169.3,XM_005253296.1,rna52045,rna52046	84.00	43.00	36.00	52.00	102.00	41.00	100.00	98.00	64.00	41.00	52.00	95.00
LOH12CR2	rna52043	6.00	7.00	4.00	4.00	2.00	7.00	11.00	6.00	3.00	7.00	5.00	8.00
LONP1	NM_001276479.1,NM_001276480.1,NM_004793.3,rna73829	1293.00	816.00	1175.00	1063.00	1765.00	968.00	2351.00	2078.00	940.00	879.00	1089.00	2233.00
LONP2	NM_031490.2,XM_005256191.1	878.00	896.00	997.00	942.00	765.00	1032.00	2038.00	1724.00	624.00	992.00	913.00	1993.00
LONRF1	NM_152271.3,XM_005273685.1	286.00	155.00	215.00	165.00	260.00	164.00	466.00	307.00	190.00	186.00	207.00	370.00
