gene_id	transcript_id(s)	Control_R1	Control_R2	Control_R3	Control_R4	DPN_R1	DPN_R2	DPN_R3	DPN_R4	OHT_R1	OHT_R2	OHT_R3	OHT_R4
STAR	NM_000349.2,XM_005273619.2,XM_005273620.2,XM_006716392.1,XM_006716393.1	0.00	1.00	1.00	1.00	1.00	0.00	1.00	0.00	2.00	1.00	1.00	1.00
STARD10	NM_006645.2	1125.00	796.00	316.00	410.00	1138.00	976.00	562.00	776.00	810.00	1002.00	265.00	828.00
STARD13	NM_001243466.1,NM_001243474.1,NM_001243476.1,NM_052851.2,NM_178006.3,NM_178007.2,XM_005266586.1,XM_006719888.1,XM_006719889.1	340.00	199.00	314.00	181.00	299.00	182.00	556.00	281.00	258.00	212.00	307.00	358.00
STARD13-AS	rna56180	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
STARD3	NM_001165937.1,NM_001165938.1,NM_006804.3,XM_006721645.1,XM_006721646.1,rna68990,rna68991	542.00	332.00	445.00	526.00	536.00	427.00	920.00	999.00	376.00	383.00	401.00	1122.00
STARD3NL	NM_032016.3,XM_005249880.1,XM_005249881.1,XM_006715789.1	214.00	111.00	232.00	234.00	190.00	127.00	477.00	374.00	153.00	191.00	216.00	464.00
STARD4	NM_139164.1,XM_005271881.1,XM_005271884.1,rna25208	1144.94	633.00	2730.58	1258.84	993.96	713.99	5588.39	2389.73	736.96	783.96	2688.85	2297.71
STARD4-AS1	rna25209	25.21	3.10	127.87	49.60	22.62	8.19	225.20	89.27	17.19	8.04	102.73	140.60
STARD5	NM_181900.2,XM_006720702.1,XM_006720703.1	57.00	23.00	24.00	26.00	45.00	22.00	33.00	55.00	48.00	32.00	17.00	45.00
STARD6	NM_139171.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
STARD7	NM_020151.3	2541.95	1823.51	1734.36	2126.74	2261.12	2173.43	3384.73	3449.69	1769.68	2313.50	1595.40	3585.27
STARD7-AS1	rna11079	43.05	34.49	46.64	35.26	58.88	39.57	86.27	74.31	33.32	27.50	47.60	66.73
STARD8	NM_001142503.2,NM_001142504.2,NM_014725.4,XM_005262314.2,XM_005262315.1	12.00	12.00	28.00	11.00	14.00	15.00	58.00	24.00	8.00	13.00	27.00	21.00
STARD9	NM_020759.2,XM_006720621.1	154.00	32.00	73.00	39.00	158.00	30.00	126.00	67.00	115.00	33.00	70.00	120.00
STAT1	NM_007315.3,NM_139266.2,XM_006712718.1	2195.00	1456.00	2416.00	1380.00	2034.00	1705.00	3962.00	2614.00	1855.00	1883.00	1871.00	3492.00
STAT2	NM_005419.3,NM_198332.1,XM_005269108.1,XM_005269109.1,XM_005269110.2,XM_005269111.2,XM_006719572.1,rna53576,rna53577	947.00	524.00	730.00	604.00	880.00	594.00	1205.00	1117.00	694.00	660.00	542.00	1214.00
STAT3	NM_003150.3,NM_139276.2,NM_213662.1,XM_005257616.1,XM_005257617.1,XM_005257618.1	3590.00	2741.00	3667.00	2842.00	3002.00	2884.00	6993.00	5090.00	2505.00	3121.00	3015.00	5732.00
STAT4	NM_001243835.1,NM_003151.3,XM_005246817.2,XM_006712719.1	163.00	7.00	72.00	83.00	165.00	8.00	249.00	202.00	162.00	7.00	134.00	285.00
STAT5A	NM_001288718.1,NM_001288719.1,NM_001288720.1,NM_003152.3,XM_005257624.1	233.28	104.98	83.82	69.86	203.32	101.81	154.91	143.88	168.73	123.21	73.35	179.43
STAT5B	NM_012448.3,XM_005257625.1,XM_005257626.2	1110.72	542.02	646.18	768.14	1014.68	637.19	1366.09	1287.12	840.27	655.79	608.65	1500.57
STAT6	NM_001178078.1,NM_001178079.1,NM_001178080.1,NM_001178081.1,NM_003153.4,XM_006719573.1,XM_006719574.1,XM_006719575.1,rna53666	3262.00	1728.00	1877.00	2706.00	2947.00	1896.00	3616.00	4965.00	2227.00	1955.00	1672.00	5937.00
STATH	NM_001009181.1,NM_003154.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
STAU1	NM_001037328.1,NM_004602.2,NM_017452.2,NM_017453.2,NM_017454.2,XM_005260524.1,XM_005260525.1,XM_005260526.1,XM_005260527.1,XM_005260528.1,XM_005260529.1,XM_006723865.1,XM_006723866.1,XM_006723867.1,XM_006723868.1,XM_006723869.1	2782.00	2116.00	2116.00	2209.00	2728.00	2373.00	3974.00	3484.00	1973.00	2498.00	1843.00	4035.00
STAU2	NM_001164380.1,NM_001164381.1,NM_001164382.1,NM_001164383.1,NM_001164384.1,NM_001164385.1,NM_014393.2	611.00	423.00	461.00	449.00	528.00	534.00	1028.00	820.00	459.00	593.00	512.00	923.00
STAU2-AS1	rna37326	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
